id;region;vollzeit;einwohner;siedler ;budget_zukunft ;budget_vergangenheit;fachkräfte ;herausforderung_rank_1 ;herausforderung_rank_2 ;herausforderung_rank_3 ;abstimmung;strategische_kommunikation ;leistung ;zusammenarbeit ;geschlechterverteilung ;altersverteilung ;diversitaet ;migration ;regelung_1;regelung_2 ;regelung_3;regelung_4;regelung_5;regelung_6;arbeitsgestaltung_1;arbeitsgestaltung_2;arbeitsgestaltung_3;arbeitsgestaltung_4;arbeitsgestaltung_5;arbeitsgestaltung_6;arbeitsgestaltung_7;arbeitsgestaltung_8;arbeitsweise_1;arbeitsweise_2;arbeitsweise_3;arbeitsweise_4;arbeitsweise_5;arbeitsweise_6;arbeitsweise_7;arbeitsweise_8;arbeitsweise_9;erfolgskontrolle ;rolle ;rolle_kommentar ;kodex ;journalist_1;journalist_2;journalist_3;journalist_4;journalist_gruende_1;journalist_gruende_2;journalist_gruende_3;journalist_gruende_4;journalist_gruende_5;journalist_gruende_6;ki;abschluss ;studium ;kommverband ;weiterbildung_1;weiterbildung_2;weiterbildung_3;weiterbildung_4;weiterbildung_5;weiterbildung_6;weiterbildung_7;leitung;teilbereich  ;bereiche ;anstellung;teilzeit ;beruf_komm;beruf_stelle;weg;alter;geschlecht ;zufrieden 
96;A111;A22;A310;A42;A63;A52;A74;AO05;AO01;AO11;AO02;AO01;AO04;AO05;AO03;AO04;A162b;F172;Y;Y;Y;;Y;;Y;;;Y;Y;;;;;;;;;;Y;;;A244;F253;;A253b;Y;;;;Y;Y;;Y;Y;Y;A276;A284;A291;A294b;;;;;;;Y;A311;;;A321;;F334;F344;A353;A385;A392;A405
97;A11;A25;A314;A41;A61;A52;A71;AO11;AO01;AO05;AO02;AO01;AO05;AO05;AO03;AO03;A162b;F172;;Y;;;Y;Y;Y;;Y;;;;;;Y;Y;;Y;Y;;Y;Y;;A243;F251;;A251b;;Y;;;Y;;;Y;Y;Y;A273;A284;A292;A293b;;;;;Y;;;A311;;;A321;;F333;F343;A353;A385;A392;A405
98;A12;A21;A33;A43;A61;A51;A74;AO02;AO05;AO08;AO03;AO04;AO03;AO05;AO01;AO02;A161b;F171;Y;;Y;;;;Y;;;;;Y;;;Y;Y;Y;Y;;;;;;A244;F254;;A253b;Y;;;;Y;Y;Y;;;Y;A272;A284;A291;A294b;Y;;;;Y;;;A311;;;A321;;F335;F345;A353;A384;A391;A405
99;A12;A21;A31;A41;A63;A54;A74;AO05;AO01;AO07;AO05;AO01;AO03;AO05;AO01;AO01;A163b;F174;Y;;;;;;Y;;;Y;;;;;Y;;;Y;;;;;;A242;F252;;A253b;;;;Y;;;Y;;;;A273;A284;A291;A294b;Y;;;;;;;A314;;;A321;;F334;F341;A351;A382;A391;A405
101;A111;A21;A35;A41;A61;A52;A74;AO07;AO11;AO05;AO02;AO01;AO05;AO02;AO05;AO01;A162b;F171;;Y;Y;;;Y;Y;;Y;;Y;;;;Y;;;Y;;Y;Y;;;A244;F252;;A253b;;;;Y;;;;;Y;;A273;A284;A291;A294b;Y;;;;;;;A311;;;A321;;F335;F342;A351;A383;A392;A405
102;A113;A25;A312;A41;A62;A52;A72;AO11;AO07;AO01;AO03;AO05;AO03;AO04;AO02;AO02;A162b;F174;Y;Y;Y;;;Y;Y;;;Y;;;Y;;;Y;Y;Y;;;;Y;;A241;F256;;A253b;;Y;;;;Y;;Y;;Y;A272;A284;A293;A294b;;;Y;Y;;;;A312;A3113;;A321;;F335;F344;A351;A383;A391;A404
105;A11;A22;A311;A41;A62;A53;A74;AO02;AO05;AO11;AO02;AO01;AO04;AO04;AO02;AO02;A162b;F171;;;Y;;;;Y;;Y;Y;;;;;;;Y;Y;;;;;;A242;F253;;A253b;;;Y;;;Y;;Y;;;A272;A284;A291;A292b;Y;;;;Y;;;A311;;;A322;30;F333;F343;A353;A383;A391;A405
106;A14;A22;A313;A42;A61;A51;A72;AO05;AO07;AO11;AO03;AO05;AO02;AO03;AO03;AO03;A162b;F171;Y;Y;;;Y;Y;Y;Y;;Y;;;Y;;;;;;;;;;Y;A241;F253;;A253b;;Y;;;;;Y;;Y;Y;A276;A283;A294;A294b;;;;;;;Y;A313;;A3125;A321;;F332;F342;A356;A383;A391;A403
107;A12;A23;A311;A41;A61;A53;A71;AO11;AO05;AO09;AO03;AO02;AO04;AO04;AO02;AO04;A162b;F171;;Y;;;Y;;Y;;;;;;;;Y;;;Y;;;Y;Y;;A242;F253;;A251b;;Y;;;Y;;Y;Y;;Y;A276;A284;A292;A294b;;;;;;;Y;A311;;;A321;;F336;F346;A358;A385;A391;A405
109;A12;A22;A33;A43;A61;A51;A74;AO09;AO11;AO05;AO03;AO03;AO03;AO04;AO02;AO01;A161b;F172;;;Y;Y;;Y;Y;;;Y;;;;;Y;;;Y;;;;;;A243;F253;Als Mitarbeiter im öffentlichen Dienst fühle ich mich insbesondere meinem Dienstherren verpflichtet. In der Funktion des Pressesprechers heißt das für mich, Informationen von und über die Verwaltung sowie deren handeln verständlich an die Bürgerinnen und Bürger zu vermitteln. Erweitert gilt es dabei auch Anregungen und Informationen aus der Bürgerschaft aufzunehmen, um Verwaltungshandeln zu optimieren.;A253b;;;;Y;Y;;Y;;;Y;A272;A284;A292;A292b;;;;;;;Y;A314;;;A321;;F334;F342;A356;A383;A392;A405
110;A12;A22;A32;A42;A62;A52;A73;AO04;AO09;AO05;AO03;AO01;AO04;AO05;AO01;AO03;A163b;F172;Y;Y;;;Y;Y;Y;;;;;;Y;;Y;;;Y;;Y;;;;A244;F253;;A251b;;Y;;;Y;;;;;;A273;A284;A291;A294b;Y;;;;Y;;;A311;;;A321;;F332;F342;A353;A382;A391;A404
114;A19;A23;A38;A41;A62;A54;A72;AO05;AO02;AO11;AO04;AO05;AO03;AO03;AO02;AO03;A162b;F171;;;Y;;;;Y;;;Y;;;;;;;;;;;;Y;;A242;F255;"Zunächst eher Selbstverständnis als Journalistin (aktive Rolle war Pressesprecherin).
mittlerweile anderswo angedockt und für interne Komm. zuständig - in dieser Rolle eindeutig mehr strategisch. - In beiden Rollen immer auch Moderation als Schwerpunkt.";A251b;;;;Y;;Y;;Y;;Y;A272;A284;A296;A292b;;Y;;;;;;A314;;;A321;;F336;F342;A353;A385;A391;A403
115;A12;A21;A34;A42;A61;A54;A72;AO09;AO01;AO07;AO04;AO05;AO03;AO04;AO02;AO01;A161b;F172;;Y;Y;;;;Y;;;Y;;;;;Y;Y;;Y;;;Y;;;A242;F251;;A253b;;;;Y;;Y;Y;Y;;;A271;A283;A297;A294b;;;;;;;Y;A314;;;A322;20;F333;F343;A352;A382;A391;A403
116;A12;A22;A36;A43;A62;A53;A73;AO03;AO05;AO08;AO03;AO04;AO04;AO05;AO02;AO03;A163b;F172;;;Y;;;;Y;;;Y;;;;;Y;Y;;Y;Y;Y;Y;;;A242;F253;;A253b;Y;;;;Y;;;Y;Y;Y;A274;A284;A294;A294b;;;;;;;Y;A311;;;A321;;F334;F343;A356;A383;A392;A404
123;A19;A24;A312;A41;A62;A52;A71;AO01;AO09;AO02;AO01;AO02;AO05;AO02;AO02;AO02;A162b;F174;;Y;Y;;Y;Y;Y;;;Y;Y;Y;Y;;;;;Y;Y;Y;;;;A244;F256;Eigentlich sind wir alles das in unserer Funktion. Wir müssen Vertrauen herstellen, sind Service-Dienstleister, bereiten wichtige Infos auf, betreiben indirket Imagepflege zum Vertrauensaufbau, stellen journalistische Fragen um entsprechende Antworten zu erhalten, sind Vermittler zwischen den Ämtern und Fachdiensteg und den Bürgern sowie Journalisten. Wobei der Krisen- und Vertrauensmanager mittlerweile immer mehr in den Fokus rückt.;A251b;;Y;;;Y;Y;;Y;Y;Y;A273;A284;A292;A293b;;;Y;;Y;Y;;A313;;A3121;A321;;F336;F343;A351;A383;A391;A404
124;A12;A21;A33;A41;A61;A52;A74;AO09;AO01;AO10;AO03;AO05;AO04;AO02;AO05;AO01;A162b;F171;Y;;;;;;Y;;;;;;;;;;;;;;;;Y;A241;F253;;A253b;;Y;;;Y;Y;;Y;Y;Y;A274;A284;A291;A294b;;;;;;Y;;A314;;;A321;;F334;F344;A355;A382;A392;A403
125;A11;A22;A314;A41;A61;A52;A74;AO09;AO03;AO05;AO03;AO03;AO05;AO04;AO03;AO01;A163b;F172;;Y;Y;;;;Y;;;Y;;;;;Y;Y;;Y;Y;;Y;;;A244;F251;;A252b;;;Y;;;Y;;;;Y;A272;A284;A291;A294b;Y;;;;Y;;;A312;A3111;;A321;;F333;F342;A353;A382;A392;A404
126;A19;A21;A35;A41;A62;A53;A74;AO05;AO07;AO08;AO01;AO01;AO04;AO05;AO01;AO03;A163b;F171;Y;Y;Y;;Y;Y;Y;;;;;;;;Y;;;Y;;Y;Y;Y;;A244;F255;;A253b;;;;Y;Y;Y;Y;;;;A274;A284;A292;A293b;;;;;Y;;;A311;;;A321;;F332;F342;A353;A384;A391;A405
127;A12;A22;A35;A41;A62;A53;A72;AO02;AO05;AO11;AO05;AO04;AO04;AO05;AO03;AO01;A163b;F171;Y;Y;Y;;Y;;Y;;;Y;;;Y;;Y;Y;Y;Y;;;Y;;;A243;F253;;A251b;;Y;;;Y;Y;Y;Y;Y;Y;A272;A282;A297;A294b;;;Y;;;;;A311;;;A321;;F334;F343;A356;A382;A391;A405
128;A12;A22;A34;A42;A62;A52;A74;AO05;AO02;AO11;AO02;AO02;AO04;AO04;AO03;AO03;A161b;F172;;;Y;;;;Y;;;;;;;;;;;Y;;;;;;A243;F251;;A251b;;Y;;;Y;;;Y;;;A272;A282;A297;A293b;;;;;Y;;;A312;A3111;;A321;;F333;F343;A353;A384;A392;A404
129;A12;A22;A33;A42;A62;A52;A71;AO01;AO04;AO11;AO02;AO03;AO04;AO04;AO02;AO03;A163b;F171;;;Y;;;;Y;;Y;Y;;;;;Y;;;Y;Y;Y;Y;;;A243;F251;Ich habe beide Ausbildungen: Journalismus und PR. Im Prinzip treffen alle Punkte der Auswahlliste zu, was die Rolle und Funktion betrifft. Von allem etwas, würde ich sagen.;A251b;;Y;;;Y;Y;;Y;Y;Y;A273;A284;A291;A294b;Y;;;;Y;;;A311;;;A321;;F336;F343;A353;A384;A392;A404
